Channel ID,URL,Post ID,date,message,out,mentioned,media_unread,silent,post,from_scheduled,legacy,edit_hide,pinned,noforwards,peer_channel,from_id_user,fwd_from,via_bot_id,reply_to_msg_id,reply_to_scheduled,forum_topic,media_photo_id,reply_markup,views,forwards,replies,edit_date,post_author,grouped_id,reactions,restriction_reason,ttl_period
freecombolistdaily,https://t.me/freecombolistdaily,3087,2024-03-20 18:31:15,"✨ PRIVATE COMBO CLOUD ✨


PRICE

10$ - 3 Days
30$ - 2 Week
50$ - 1 Month
100$ - 1 Year
200$ - Lifetime


WE OFFER YOU

♦️ Upload Everyday 
♦️ Priority Members 
♦️ No Duplicate Line
♦️ Fresh Combolist
♦️ Private Combolist
♦️ Big Combo Everyday

Payment : CRYPTO


@paulofrank21",False,False,False,False,True,False,False,False,False,False,1716787216,,"{'_': 'MessageFwdHeader', 'date': '2024-03-20T18:31:13+00:00', 'imported': False, 'saved_out': False, 'from_id': {'_': 'PeerChannel', 'channel_id': 1736488447}, 'from_name': None, 'channel_post': 5368, 'post_author': None, 'saved_from_peer': None, 'saved_from_msg_id': None, 'saved_from_id': None, 'saved_from_name': None, 'saved_date': None, 'psa_type': None}",,,,,6.330025468199289e+18,,2.0,0.0,,,,1.3687675805904412e+16,,[],
usnhub,https://t.me/usnhub,2463,2024-03-03 00:16:32,ada @caabe,False,False,False,False,True,False,False,True,False,False,1762746795,,,,,,,,,21.0,0.0,"{'_': 'MessageReplies', 'replies': 0, 'replies_pts': 15336, 'comments': True, 'recent_repliers': [], 'channel_id': 1906509669, 'max_id': None, 'read_max_id': None}",2024-03-03T00:16:36+00:00,,,,[],
trickadsagency,https://t.me/trickadsagency,1555,2024-02-24 13:36:08,"<DATE_TIME> we tech how to create tiktok threshold with cards or PayPal so don’t miss. 

You get benefit life time private channels membership.


You want join private channels nock me: @fbadspro11",False,False,False,False,True,False,False,True,False,False,1882829410,,"{'_': 'MessageFwdHeader', 'date': '2024-02-24T13:35:37+00:00', 'imported': False, 'saved_out': False, 'from_id': {'_': 'PeerChannel', 'channel_id': 1621110337}, 'from_name': None, 'channel_post': 783, 'post_author': None, 'saved_from_peer': None, 'saved_from_msg_id': None, 'saved_from_id': None, 'saved_from_name': None, 'saved_date': None, 'psa_type': None}",,,,,,,446.0,0.0,,2024-02-24T19:16:32+00:00,,,"{'_': 'MessageReactions', 'results': [{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 1, 'chosen_order': None}], 'min': False, 'can_see_list': False, 'reactions_as_tags': False, 'recent_reactions': []}",[],
agedacct,https://t.me/agedacct,3374,2024-02-18 15:07:32,"Crypto/NFT Twitter Account with 10k Followers

Are you looking for a top-notch Crypto/NFT related Twitter account that boasts an impressive 10,000 followers? Look no further because we have just what you need.

Not only is this…",False,False,False,False,True,False,False,False,False,False,1291685951,,,,,,,5.949782929628577e+18,"{'_': 'ReplyInlineMarkup', 'rows': [{'_': 'KeyboardButtonRow', 'buttons': [{'_': 'KeyboardButtonUrl', 'text': '🔗 View Product', 'url': 'https://buysocia.com/product/crypto-nft-twitter-account-with-10k-followers/'}]}]}",167.0,1.0,,,,,,[],
usnhub,https://t.me/usnhub,2968,2024-03-15 05:48:49,<PERSON>,False,False,False,False,True,False,False,True,False,False,1762746795,,,,,,,,,101.0,0.0,"{'_': 'MessageReplies', 'replies': 0, 'replies_pts': 17701, 'comments': True, 'recent_repliers': [], 'channel_id': 1906509669, 'max_id': None, 'read_max_id': None}",2024-03-15T05:48:52+00:00,,,,[],
mail_access_private,https://t.me/mail_access_private,492,2024-03-16 06:52:51,"2,000 subscribers

thank you all very much❤️",False,False,False,False,True,False,False,True,False,False,1994848622,,,,,,,,,1723.0,1.0,,2024-03-16T06:56:46+00:00,,,"{'_': 'MessageReactions', 'results': [{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 18, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '🤩'}, 'count': 1, 'chosen_order': None}], 'min': False, 'can_see_list': False, 'reactions_as_tags': False, 'recent_reactions': []}",[],
adsbinfree,https://t.me/adsbinfree,738,2024-02-09 05:46:22,I see voting... All members need <DATE_TIME> Instagram threshold class. So ready for <DATE_TIME> am tech threshold class 4$ dollars it’s sample Method. <NRP>,False,False,False,False,True,False,False,True,False,False,1621110337,,,,,,,,,707.0,0.0,,2024-02-09T05:47:03+00:00,,,"{'_': 'MessageReactions', 'results': [{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 3, 'chosen_order': None}], 'min': False, 'can_see_list': False, 'reactions_as_tags': False, 'recent_reactions': []}",[],
usnhub,https://t.me/usnhub,2551,2024-03-04 05:34:18,<PERSON> nder <PERSON>,False,False,False,False,True,False,False,True,False,False,1762746795,,,,2337.0,False,False,,,63.0,0.0,"{'_': 'MessageReplies', 'replies': 0, 'replies_pts': 15666, 'comments': True, 'recent_repliers': [], 'channel_id': 1906509669, 'max_id': None, 'read_max_id': None}",2024-03-04T05:34:21+00:00,,,,[],
mystorypolls,https://t.me/mystorypolls,17388,2024-02-05 07:06:46,Icecream Polls 🍦,False,False,False,True,True,False,False,False,False,False,1344163371,,,,,,,6.197219745057586e+18,,307.0,0.0,,,B,1.365693445204022e+16,,[],
nxxvo,https://t.me/nxxvo,2594,2024-02-13 08:32:43,"VERIFIED TIKTOK ACCOUNTS ✅
Phone Changeable 
Email Changeable 
Inactive <DATE_TIME>
No Ex
Safe

⭐️inactive <DATE_TIME>
⭐️2.4M Followers 

✈️@warmer",False,False,False,False,True,False,False,False,False,False,1722074717,,,,,,,5.93386024032179e+18,,79.0,0.0,,,ZLMA l ACTIVE,,,[],
mystorypolls,https://t.me/mystorypolls,17352,2024-01-21 18:13:41,Eat / No ???,False,False,False,True,True,False,False,False,False,False,1344163371,,,,,,,6.156759439437314e+18,,316.0,0.0,,,B,1.36468865716437e+16,,[],
mail_access_private,https://t.me/mail_access_private,375,2024-01-24 05:46:30,"<DATE_TIME> test access 15$
<DATE_TIME> 35$
<DATE_TIME> 100$
@sasss_ka",False,False,False,False,True,False,False,True,False,False,1994848622,,,,,,,,,1120.0,14.0,,2024-01-24T06:38:26+00:00,,,"{'_': 'MessageReactions', 'results': [{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 3, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '🔥'}, 'count': 1, 'chosen_order': None}], 'min': False, 'can_see_list': False, 'reactions_as_tags': False, 'recent_reactions': []}",[],
usnhub,https://t.me/usnhub,2297,2024-02-26 08:23:22,<PERSON>,False,False,False,False,True,False,False,True,False,False,1762746795,,,,2296.0,False,False,,,41.0,0.0,"{'_': 'MessageReplies', 'replies': 0, 'replies_pts': 14509, 'comments': True, 'recent_repliers': [], 'channel_id': 1906509669, 'max_id': None, 'read_max_id': None}",2024-02-26T08:23:25+00:00,,,,[],
hxtlistservices,https://t.me/hxtlistservices,1529,2024-01-20 22:26:27,$25 One,False,False,False,False,True,False,False,False,False,False,1689097401,,,,,,,5.010661147510156e+18,,300.0,1.0,"{'_': 'MessageReplies', 'replies': 0, 'replies_pts': 15996, 'comments': True, 'recent_repliers': [], 'channel_id': 1145739994, 'max_id': None, 'read_max_id': None}",2024-01-24T06:05:44+00:00,нιтℓιѕт / قائمة الاغتيالات Active ( MM ),,"{'_': 'MessageReactions', 'results': [{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '🔥'}, 'count': 1, 'chosen_order': None}], 'min': False, 'can_see_list': False, 'reactions_as_tags': False, 'recent_reactions': []}",[],
cheapsmmmarketer,https://t.me/cheapsmmmarketer,615,2024-01-23 17:36:27,"Dear Users,
We are here to provide you with cheap and best high-quality services

Note - Before placing an order contact us on our WhatsApp 
We recommend the Best Seller packages of All services 

https://wa.me/<PHONE_NUMBER>

Stay connected with us❤️
Lots of love
Cheapsmmmarket.com",False,False,False,False,True,False,False,True,False,False,1641701890,,,,,,,,,743.0,0.0,,2024-02-07T14:58:07+00:00,,,"{'_': 'MessageReactions', 'results': [{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 1, 'chosen_order': None}], 'min': False, 'can_see_list': False, 'reactions_as_tags': False, 'recent_reactions': []}",[],
